# Matrix elements of the unitary transform
#       from Cartesian to Radial circular harmonic oscillator states
#       up to ell = 23
#       Each matrix element is sign*sqrt(nominator^2/denominator^2)
# nx ny     emm nrn     sign*nominator^2 denominator^2

0 0   0 0   1 1
9 7  -8 4   -1232 32768
9 7 -10 3   -4004 32768
9 7 -12 2   3432 32768
9 7 -14 1   2860 32768
9 7 -16 0   -11440 32768
10 6   0 8   2520 32768
10 6   2 7   -280 32768
10 6   4 6   -4096 32768
10 6   6 5   2376 32768
10 6   8 4   1760 32768
10 6  10 3   -5720 32768
10 6  14 1   8008 32768
10 6  16 0   -8008 32768
11 5  -2 7   -4620 32768
11 5  -4 6   2376 32768
11 5  -6 5   1156 32768
11 5  -8 4   -6000 32768
11 5 -10 3   780 32768
11 5 -12 2   3640 32768
11 5 -14 1   -9828 32768
11 5 -16 0   4368 32768
12 4   0 8   2772 32768
12 4   2 7   -1232 32768
12 4   4 6   -1760 32768
12 4   6 5   6000 32768
12 4   8 4   -1296 32768
12 4  10 3   -1872 32768
12 4  12 2   8736 32768
12 4  14 1   -7280 32768
12 4  16 0   1820 32768
13 3  -2 7   -4004 32768
13 3  -4 6   5720 32768
13 3  -6 5   -780 32768
13 3  -8 4   -1872 32768
13 3 -10 3   8100 32768
13 3 -12 2   -8232 32768
13 3 -14 1   3500 32768
13 3 -16 0   -560 32768
14 2   0 8   3432 32768
14 2   2 7   -3432 32768
14 2   6 5   3640 32768
14 2   8 4   -8736 32768
14 2  10 3   8232 32768
14 2  12 2   -4096 32768
14 2  14 1   1080 32768
14 2  16 0   -120 32768
15 1  -2 7   -2860 32768
15 1  -4 6   8008 32768
15 1  -6 5   -9828 32768
15 1  -8 4   7280 32768
15 1 -10 3   -3500 32768
15 1 -12 2   1080 32768
15 1 -14 1   -196 32768
15 1 -16 0   16 32768
16 0   0 8   6435 32768
16 0   2 7   -11440 32768
16 0   4 6   8008 32768
16 0   6 5   -4368 32768
16 0   8 4   1820 32768
16 0  10 3   -560 32768
16 0  12 2   120 32768
16 0  14 1   -16 32768
16 0  16 0   1 32768

0 17  -1 8   24310 65536
0 17  -3 7   19448 65536
0 17  -5 6   12376 65536
0 17  -7 5   6188 65536
0 17  -9 4   2380 65536
0 17 -11 3   680 65536
0 17 -13 2   136 65536
0 17 -15 1   17 65536
0 17 -17 0   1 65536
1 16   1 8   1430 65536
1 16   3 7   10296 65536
1 16   5 6   18200 65536
1 16   7 5   17836 65536
1 16   9 4   11340 65536
1 16  11 3   4840 65536
1 16  13 2   1352 65536
1 16  15 1   225 65536
1 16  17 0   17 65536
2 15  -1 8   11440 65536
2 15  -3 7   2288 65536
2 15  -5 6   -1456 65536
2 15  -7 5   -11648 65536
2 15  -9 4   -17920 65536
2 15 -11 3   -13520 65536
2 15 -13 2   -5776 65536
2 15 -15 1   -1352 65536
2 15 -17 0   -136 65536
3 14   1 8   2288 65536
3 14   3 7   11440 65536
3 14   5 6   7280 65536
3 14   9 4   -8064 65536
3 14  11 3   -17424 65536
3 14  13 2   -13520 65536
3 14  15 1   -4840 65536
3 14  17 0   -680 65536
4 13  -1 8   8008 65536
4 13  -5 6   -8320 65536
4 13  -7 5   -9360 65536
4 13  -9 4   -144 65536
4 13 -11 3   8064 65536
4 13 -13 2   17920 65536
4 13 -15 1   11340 65536
4 13 -17 0   2380 65536
5 12   1 8   3080 65536
5 12   3 7   9856 65536
5 12   5 6   512 65536
5 12   7 5   -7056 65536
5 12   9 4   -9360 65536
5 12  13 2   11648 65536
5 12  15 1   17836 65536
5 12  17 0   6188 65536
6 11  -1 8   6160 65536
6 11  -3 7   -1232 65536
6 11  -5 6   -10000 65536
6 11  -7 5   -512 65536
6 11  -9 4   8320 65536
6 11 -11 3   7280 65536
6 11 -13 2   -1456 65536
6 11 -15 1   -18200 65536
6 11 -17 0   -12376 65536
7 10   1 8   3920 65536
7 10   3 7   7056 65536
7 10   5 6   -1232 65536
7 10   7 5   -9856 65536
7 10  11 3   11440 65536
7 10  13 2   2288 65536
7 10  15 1   -10296 65536
7 10  17 0   -19448 65536
8 9  -1 8   4900 65536
8 9  -3 7   -3920 65536
8 9  -5 6   -6160 65536
8 9  -7 5   3080 65536
8 9  -9 4   8008 65536
8 9 -11 3   -2288 65536
8 9 -13 2   -11440 65536
8 9 -15 1   1430 65536
8 9 -17 0   24310 65536
9 8   1 8   4900 65536
9 8   3 7   3920 65536
9 8   5 6   -6160 65536
9 8   7 5   -3080 65536
9 8   9 4   8008 65536
9 8  11 3   2288 65536
9 8  13 2   -11440 65536
9 8  15 1   -1430 65536
9 8  17 0   24310 65536
10 7  -1 8   3920 65536
10 7  -3 7   -7056 65536
